Merk,Uitvoering,Type,Datum eerste toelating
VOLKSWAGEN,DPE1MH0020O1ASA,Diesel,20211119.0
BMW,0AA5A000,Benzine,20250515.0
BMW,0AH5A00B,Benzine,20250513.0
OPEL,ZKXZ-X0A000,Benzine,20211029.0
BMW,0AA50800,Benzine,20250515.0
MERCEDES-BENZ,,Benzine,20210503.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20250515.0
VOLKSWAGEN,OPE1MH0020O1ASA,Benzine,20211119.0
VOLKSWAGEN,C0O51AA,Benzine,20211209.0
VOLKSWAGEN,C0O51AA,Benzine,20211220.0
MERCEDES-BENZ,ZZAAA70A,Benzine,20250513.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250515.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,Benzine,20190911.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N,Benzine,20171207.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,Benzine,20211206.0
OPEL,ZKXZ-X0C000,Benzine,20211229.0
OPEL,ZKXZ-Y0L000,Benzine,20250512.0
OPEL,ZKWZ-G0V001,Benzine,20250514.0
OPEL,ZKWZ-G0V001,Benzine,20250512.0
BMW I,0A240000,Elektrisch,20180227.0
VOLKSWAGEN,C0O51AA,Benzine,20211125.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250508.0
VOLKSWAGEN,DAE2G1Z02SA,Diesel,20250516.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,Benzine,20211211.0
BMW,0AB50000,Benzine,20250922.0
VOLKSWAGEN,PPE1MP001NA,Benzine,20250905.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,Benzine,20220107.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20211210.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,Benzine,20211014.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0M,Benzine,20211220.0
OPEL,ZKXZ-Y0L000,Benzine,20250514.0
VOLKSWAGEN,D0O51AA,Diesel,20211215.0
VOLKSWAGEN,D0M51AA,Diesel,20211217.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,Elektrisch,20200820.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,Benzine,20210610.0
AUDI,QE1QE1G1Z08RT021A200GAAEM0,Benzine,20250516.0
BMW,0AB50800,Benzine,20250514.0
VOLKSWAGEN,BPE1MH00200A,Benzine,20250516.0
AUDI,QE1QE1G1Z08RT021A210GAAEM0,Benzine,20250516.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,Benzine,20250519.0
BMW,0AW5000S,Benzine,20211230.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250513.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250514.0
VOLKSWAGEN,L3400AAEBG1Z01A65,Benzine,20250515.0
BMW,0AB50000,Benzine,20250513.0
BMW,0AA50800,Benzine,20250513.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,Benzine,20211011.0
BMW,0AA50000,Benzine,20250905.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20250516.0
