Merk,Uitvoering,Datum eerste toelating
MERCEDES-BENZ,ZZAL050B,20211111.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,20211027.0
MERCEDES-BENZ,ZZAAA50A,20211110.0
MERCEDES-BENZ,ZZAB050A,20250516.0
BMW,0AW5000S,20211231.0
BMW,0AL5A000,20250510.0
BMW,0AB50800,20250508.0
OPEL,ZKXZ-Y0L000,20250515.0
VOLKSWAGEN,C0O51AA,20200811.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,20190607.0
AUDI,QE1QE1G1Z02RT61C210GAAEM0,20210628.0
OPEL,ZYAZ-E0D000,20250516.0
MERCEDES-BENZ,ZZAA05BA,20250509.0
MERCEDES-BENZ,ZZAAA50A,20250523.0
BMW,0AL5A000,20250515.0
BMW,0AB50000,20250515.0
MERCEDES-BENZ,ZZAL050C,20211230.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1O,20211230.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,20220107.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FSC,20250509.0
BMW,0AB50000,20250516.0
OPEL,ZKWZ-Y0R000,20250508.0
VOLKSWAGEN,BPE1MH00200A,20250905.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML02VR0N0,20190506.0
OPEL,ZKWZ-Y0R000,20250508.0
OPEL,ZKWZ-Y0R000,20250508.0
VOLKSWAGEN,DPE1MH0020O1ASA,20211119.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,20250515.0
BMW,0AA5A000,20250515.0
BMW,0AH5A00B,20250513.0
BMW,0AH5A00B,20250513.0
BMW,0AH5A00B,20250513.0
OPEL,ZKXZ-X0A000,20211029.0
BMW,0AA50800,20250515.0
MERCEDES-BENZ,,20210503.0
MERCEDES-BENZ,ZZAAA50A,20250515.0
BMW,0AW5000S,20211231.0
VOLKSWAGEN,OPE1MH0020O1ASA,20211119.0
VOLKSWAGEN,C0O51AA,20211209.0
VOLKSWAGEN,C0O51AA,20211220.0
MERCEDES-BENZ,ZZAAA70A,20250513.0
MERCEDES-BENZ,ZZAAA52A,20250515.0
AUDI,QE1QE1G1Z01RT11C210GABEM0,20190911.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N,20171207.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,20211206.0
OPEL,ZKXZ-X0C000,20211229.0
OPEL,ZKXZ-Y0L000,20250512.0
OPEL,ZKXZ-Y0L000,20250512.0
OPEL,ZKXZ-Y0L000,20250512.0
OPEL,ZKWZ-G0V001,20250514.0
VOLKSWAGEN,BPE1MH00200A,20250730.0
OPEL,ZKWZ-G0V001,20250512.0
OPEL,ZKWZ-G0V001,20250512.0
BMW I,0A240000,20180227.0
VOLKSWAGEN,C0O51AA,20211125.0
MERCEDES-BENZ,ZZAAA52A,20250508.0
VOLKSWAGEN,DAE2G1Z02SA,20250516.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,20211211.0
BMW,0AB50000,20250516.0
BMW,0AB50000,20250922.0
VOLKSWAGEN,PPE1MP001NA,20250905.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,20220107.0
MERCEDES-BENZ,ZZAAA50A,20211210.0
BMW,0AB50000,20250515.0
OPEL,ZKXZ-Y0L000,20250515.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,20211014.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0M,20211220.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191230.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191228.0
VOLKSWAGEN,D0O51AA,20211215.0
VOLKSWAGEN,D0M51AA,20211217.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
OPEL,ZKXZ-Y0L000,20250514.0
VOLKSWAGEN,FA1FA1CZ0020GAVR0N1EVW1B16O,20200820.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,20211230.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,20210610.0
AUDI,QE1QE1G1Z08RT021A200GAAEM0,20250516.0
BMW,0AB50800,20250514.0
VOLKSWAGEN,BPE1MH00200A,20250516.0
AUDI,QE1QE1G1Z08RT021A210GAAEM0,20250516.0
VOLKSWAGEN,OPE1MP001SA,20250516.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250514.0
AUDI,HE1HE1G1Z02RT051B210GAAEM0FSS,20250516.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FSC,20250519.0
BMW,0AW5000S,20211230.0
MERCEDES-BENZ,ZZAAA52A,20250513.0
MERCEDES-BENZ,ZZAAA52A,20250513.0
MERCEDES-BENZ,ZZAAA52A,20250515.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250514.0
VOLKSWAGEN,L3400AAEBG1Z01A65,20250515.0
BMW,0AB50000,20250513.0
BMW,0AA50800,20250513.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,20211011.0
BMW,0AA50000,20250905.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250516.0
MERCEDES-BENZ,ZZAAA50A,20250516.0
OPEL,A1EA5AA1,20200204.0
VOLKSWAGEN,N3000QPE1MP002A55,20250516.0
OPEL,ZKWZ-Y0R000,20250513.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250515.0
AUDI,HE1HE1G1Z02RT011B210GAAEM0FLC,20250514.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,20250515.0
BMW,0AB50000,20250514.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250515.0
MERCEDES-BENZ,ZZAAA52A,20250516.0
MERCEDES-BENZ,ZZAAA50A,20250516.0
BMW,0AW50000,20211215.0
MERCEDES-BENZ,ZZAAA52A,20250516.0
MERCEDES-BENZ,ZZAAA50A,20250514.0
MERCEDES-BENZ,ZZAAA50A,20250516.0
MERCEDES-BENZ,ZZAAA51A,20250515.0
VOLKSWAGEN,BPE1MH00200A,20250516.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0M,20210929.0
MERCEDES-BENZ,ZZAAA52A,20250516.0
MERCEDES-BENZ,ZZAAA70A,20250516.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250519.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,20200305.0
BMW,0AW5000S,20210930.0
VOLKSWAGEN,OPE1MP001SA,20250515.0
OPEL,ZKXZ-X0A000,20200305.0
BMW,0AA5A000,20250513.0
BMW I,0AW4000S,20211119.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,20211117.0
VOLKSWAGEN,D0O1ASA,20211026.0
BMW,0AL5A000,20250905.0
BMW,0AB50000,20250515.0
BMW,0AB50800,20250513.0
BMW,0AL5A00B,20250516.0
VOLKSWAGEN,D0O51AA,20211221.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0M,20211119.0
BMW,0AL5A00B,20250516.0
BMW,0AB50800,20250516.0
VOLKSWAGEN,OPE1MH00201ASA,20230719.0
BMW,0AB50800,20250515.0
BMW,0AH5A800,20250514.0
BMW,0AH5A00B,20250516.0
BMW,0AB50000,20250516.0
BMW,0AB50800,20250513.0
BMW,0AB50000,20250516.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,20200331.0
OPEL,ZKZX-B0E000,20250515.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,20211221.0
OPEL,ZKWZ-Y0R000,20250514.0
BMW,0AB5A000,20250516.0
OPEL,ZYAZ-E0D000,20250515.0
VOLKSWAGEN,DPE1MH0020O1ASA,20211026.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1M,20211125.0
OPEL,ZKWZ-Y0R000,20250515.0
OPEL,ZKZX-B0E000,20250515.0
BMW,0AB50000,20250515.0
PORSCHE,2500000,20250515.0
VOLKSWAGEN,RPE1MH002P0A,20250516.0
PORSCHE,2500000,20250516.0
VOLKSWAGEN,DPE1MP001SA,20250514.0
VOLKSWAGEN,APE1MP001NA,20250515.0
VOLKSWAGEN,PPE1MP001NA,20250514.0
AUDI,QE1QE1G1Z05RT051B210GAAEM0FLC,20250516.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250514.0
VOLKSWAGEN,BPE1MH00200A,20250515.0
MERCEDES-BENZ,ZZAA051A,20250516.0
VOLKSWAGEN,RPE1MH002P0A,20250515.0
AUDI,QE1QE1G1Z01RT31B200GAAEM1,20211228.0
VOLKSWAGEN,PPE1MP001NA,20250515.0
BMW,0AL50800,20250516.0
BMW,0AA50800,20250513.0
VOLKSWAGEN,OPE1MH0020M1ASA,20211023.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,20211203.0
MERCEDES-BENZ,ZZAAA50A,20210528.0
BMW,0AB50000,20250515.0
BMW,0AB50000,20250515.0
BMW I,0AW4000S,20211228.0
BMW,0AB50000,20250516.0
BMW,0AB50800,20250514.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20211230.0
AUDI,QE2QE2G1X01RT011B210GAAEM0FS,20211223.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,20200512.0
OPEL,ZKXZ-X0C000,20211231.0
BMW,0AW5000S,20220115.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20211006.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0M,20211221.0
BMW,0AW5000S,20211011.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,20211230.0
VOLKSWAGEN,C0O51AA,20211230.0
BMW,0AW5000S,20211231.0
OPEL,ZYAZ-E0D000,20250515.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,20211126.0
OPEL,ZKWZ-G0V001,20250514.0
